amfi_code,annualised_return,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
120503,0.12611234974973562,0.5201263333933701,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,17.0,17.0,17.0,20.0,14.0,48.17415730337078
120504,0.1554390913284538,0.7437932101761636,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.8,13.0,10.0,13.0,12.0,12.0,33.70786516853933
120505,0.21635659017888664,0.9267969671761075,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.36,1.0,4.0,3.0,15.0,25.0,18.679775280898877
120506,0.11496519378615822,0.38776674646692244,0.1625385327998104,0.04189646272811977,-0.1982565826298267,1.41,19.0,19.0,20.0,19.0,27.0,56.179775280898866
120507,0.04939128073454402,-3.3964911533755973,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.74,29.0,38.0,31.0,7.0,1.0,71.76966292134831
120841,0.09151266930745594,0.23278406366817153,0.13042924450705445,0.036356399022199795,-0.1757361416468729,1.59,24.0,23.0,25.0,35.0,24.0,71.91011235955057
120842,0.04576968637773482,-0.12709134941416342,0.0780443887615508,0.01805687420811816,-0.24003511326274884,1.56,31.0,29.0,29.0,33.0,33.0,85.95505617977527
120843,0.20419887254007207,1.0346024972942982,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,1.45,6.0,2.0,5.0,22.0,13.0,22.191011235955056
120844,0.04721447852372074,-3.774260487376176,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.6,30.0,39.0,32.0,3.0,2.0,72.47191011235954
125497,0.12763242123654184,0.5045910907456251,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.92,16.0,18.0,16.0,14.0,18.0,46.067415730337075
125498,0.07667267490155338,0.0752095997719019,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.78,26.0,26.0,26.0,10.0,29.0,67.13483146067415
148567,0.20462186043324326,1.1610958552579638,0.2698375144191807,0.023683558075848623,-0.11265729075028275,1.46,5.0,1.0,7.0,23.0,8.0,20.786516853932582
148568,0.15040227218523028,0.6540086719973177,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,1.52,14.0,15.0,14.0,26.5,19.0,46.69943820224719
148569,0.21080437600362334,0.9743318774535653,0.2827036785246582,0.018133884083859245,-0.1639674294693263,1.6,4.0,3.0,4.0,36.5,21.0,29.002808988764038
149322,0.09059091579789302,0.21077175754423044,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,1.54,25.0,25.0,24.0,30.5,16.0,69.45224719101124
149323,0.19576760600828425,0.8704552569616605,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,1.61,8.0,6.0,8.0,38.0,22.0,37.64044943820224
149324,0.21294290275179173,0.7038503585993021,0.3005787817097677,0.011455159960520708,-0.31171900300634214,1.52,3.0,12.0,2.0,26.5,37.0,33.637640449438194
